IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,CRI,Costa Rica,Year,2000,false,,,,,,,,,,,,,18,,,11,,28,18 [11 – 28],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2000,false,,,,,,,,,,,,,18,,,15,,21,18 [15 – 21],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,PER,Peru,Year,2000,false,,,,,,,,,,,,,183,,,119,,259,183 [119 – 259],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2000,false,,,,,,,,,,,,,184,,,80,,331,184 [80 – 331],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,GMB,Gambia,Year,2000,false,,,,,,,,,,,,,187,,,125,,261,187 [125 – 261],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2000,false,,,,,,,,,,,,,187,,,142,,238,187 [142 – 238],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2000,false,,,,,,,,,,,,,19,,,16,,22,19 [16 – 22],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2000,false,,,,,,,,,,,,,190,,,122,,271,190 [122 – 271],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,NER,Niger,Year,2000,false,,,,,,,,,,,,,191,,,61,,393,191 [61 – 393],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2000,false,,,,,,,,,,,,,196,,,177,,216,196 [177 – 216],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,AND,Andorra,Year,2000,false,,,,,,,,,,,,,21,,,18,,24,21 [18 – 24],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,SVN,Slovenia,Year,2000,false,,,,,,,,,,,,,21,,,18,,25,21 [18 – 25],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,GHA,Ghana,Year,2000,false,,,,,,,,,,,,,216,,,64,,459,216 [64 – 459],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,TJK,Tajikistan,Year,2000,false,,,,,,,,,,,,,219,,,101,,382,219 [101 – 382],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,NGA,Nigeria,Year,2000,false,,,,,,,,,,,,,219,,,143,,311,219 [143 – 311],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,SVK,Slovakia,Year,2000,false,,,,,,,,,,,,,22,,,18,,25,22 [18 – 25],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,ALB,Albania,Year,2000,false,,,,,,,,,,,,,22,,,18,,27,22 [18 – 27],,,EN,2021-10-11T11:00:00.000Z
